transaction_id,transaction_date,merchant_name,merchant_id,raw_amount,currency,usd_rate,amount_usd,status,risk_score,gateway_region,user_id,payment_method,high_value_flag,high_risk_flag
T001,01-03-2026,Alpha Mart,M001,420000,INR,0.0119,4998,Captured,62,APAC,U001,UPI,0,0
T002,01-03-2026,Alpha Mart,M001,210000,INR,0.0119,2499,Captured,55,APAC,U002,Card,0,0
T003,01-03-2026,Beta Stores,M002,510000,INR,0.0119,6069,Captured,71,APAC,U003,NetBanking,1,1
T004,02-03-2026,Beta Stores,M002,160000,INR,0.012,1920,Failed E05 Timeout,68,APAC,U004,Card,0,0
T005,02-03-2026,Alpha Mart,M001,390000,INR,0.012,4680,Captured,58,APAC,U001,UPI,0,0
T006,02-03-2026,Beta Stores,M002,275000,INR,0.012,3300,Captured,64,APAC,U005,Wallet,0,0
T007,02-03-2026,Alpha Mart,M001,450000,INR,0.012,5400,Chargeback,83,APAC,U006,Card,1,1
T008,03-03-2026,Beta Stores,M002,340000,INR,0.0121,4114,Captured,59,APAC,U007,UPI,0,0
T009,03-03-2026,Alpha Mart,M001,125000,INR,0.0121,1512.5,Captured,46,APAC,U002,Wallet,0,0
T010,03-03-2026,Beta Stores,M002,610000,INR,0.0121,7381,Captured,77,APAC,U003,Card,1,1
T011,03-03-2026,Alpha Mart,M001,195000,INR,0.0121,2359.5,Failed E05 Timeout,,APAC,U008,UPI,0,1
T012,04-03-2026,Beta Stores,M002,250000,INR,0.012,3000,Captured,61,APAC,U009,Card,0,0
T013,04-03-2026,Alpha Mart,M001,310000,INR,0.012,3720,Captured,54,APAC,U010,UPI,0,0
T014,04-03-2026,Beta Stores,M002,470000,INR,0.012,5640,Captured,73,APAC,U001,NetBanking,1,1
T015,04-03-2026,Alpha Mart,M001,130000,INR,0.012,1560,Captured,52,APAC,U002,Card,0,0
T016,05-03-2026,Beta Stores,M002,220000,INR,0.0118,2596,Failed E05 Timeout,69,APAC,U008,Card,0,0
T017,05-03-2026,Beta Stores,M002,180000,INR,0.0118,2124,Failed E05 Timeout,72,APAC,U008,Card,0,1
T018,05-03-2026,Beta Stores,M002,145000,INR,0.0118,1711,Chargeback,86,APAC,U008,UPI,0,1
T019,05-03-2026,Alpha Mart,M001,260000,INR,0.0118,3068,Failed E05 Timeout,67,APAC,U008,Wallet,0,0
T020,05-03-2026,Alpha Mart,M001,520000,INR,0.0118,6136,Captured,75,APAC,U005,UPI,1,1
T021,06-03-2026,Beta Stores,M002,330000,INR,0.0119,3927,Captured,63,APAC,U006,Card,0,0
T022,06-03-2026,Alpha Mart,M001,410000,INR,0.0119,4879,Captured,60,EU,U007,UPI,0,0
T023,01-03-2026,City Pharma,M003,5200,EUR,1.08,5616,Captured,42,EU,U003,Card,0,0
T024,02-03-2026,Eco Home,M005,6100,EUR,1.09,6649,Chargeback,65,EU,U004,Card,1,1
T025,03-03-2026,City Pharma,M003,2800,EUR,1.08,3024,Captured,38,EU,U005,Wallet,0,0
T026,05-03-2026,Eco Home,M005,3300,EUR,1.09,3597,Failed E05 Timeout,44,US,U006,NetBanking,0,0
T027,01-03-2026,Delta Travels,M004,7200,USD,1,7200,Captured,49,US,U007,Card,1,0
T028,02-03-2026,Delta Travels,M004,3100,USD,1,3100,Captured,41,US,U008,Card,0,0
T029,04-03-2026,Delta Travels,M004,2500,USD,1,2500,Chargeback,58,US,U009,Wallet,0,1
T030,06-03-2026,Delta Travels,M004,1800,USD,1,1800,Failed E05 Timeout,47,US,U010,UPI,0,0
